Song ID,Song Name,Artist Name
4zrKN5Sv8JS5mqnbVcsul7,Celestial,Ed Sheeran
4nyF5lmSziBAt7ESAUjpbx,"I miss you, I’m sorry",Gracie Abrams
5FGDtm3MXJe8LikBkOJnOQ,I know it won't work,Gracie Abrams
35IcAVSMsU9qzHfpPbvC8A,Feels Like,Gracie Abrams
5meVa5klVlJalupZTvv5XX,21,Gracie Abrams
0PLhwCmQ7cC3ThRGPn3HxF,Mess It Up,Gracie Abrams
22bV9M6ZhoSMQk6Kumpe92,Where do we go now?,Gracie Abrams
0Uon5NsSAkBDx69XYOaQ5P,Stay,Gracie Abrams
5SJXktlo399QlOYBu4rB3m,Best,Gracie Abrams
4OWcHdAmVvcL6o8RQYogXh,Difficult,Gracie Abrams
1PV9R2n7xM53Nz3BOyJ973,I should hate you,Gracie Abrams
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Giveon
4wVOKKEHUJxHCFFNUWDn0B,Chicago Freestyle (feat. Giveon),Giveon
6qBFSepqLCuh5tehehc1bd,Like I Want You,Giveon
1TlTzdsEpgfsmbuNfYmWfG,For Tonight,Giveon
6TSO4hwz9WGrEUY7ABGVim,Lost Me,Giveon
3LBM25IgxI9y549SiYxtSi,Stuck On You,Giveon
5svK1ysz8yk6sLC3bhxUGt,dec 11th,Giveon
5JycxhApZmzbA4xSwvqh6k,All To Me,Giveon
6qvtoU0gbkaOcTx6mnVDgV,Still Your Best,Giveon
2ez6qvOTHKeI3ss80NGqnI,Trampoline (with ZAYN),SHAED
4V1rvEOILZVn2rRyAEJaSr,Trampoline,SHAED
